Report Date,Cash & Equivalents %TA,Short Term Investments %TA,Cash & Equivs & ST Investments %TA,Receivables (ST) %TA,Inventories %TA,Current Tax Assets %TA,Prepayments ST %TA,Other Current Assets %TA,Total Current Assets %TA,Gross Property Plant & Equip %TA,Accumulated Depreciation %TA,Net Property Plant & Equip %TA,LT Investments %TA,Intangible Assets %TA,Prepayments LT %TA,Deferred LT Assets %TA,Other Assets %TA,Total Assets as 100%,Accounts Payable & Accrued Exps %TA,Accounts Payable %TA,Accrued Expenses %TA,Current Debt %TA,Other Current Liabilities %TA,Total Current Liabilities %TA,LT Debt & Lease %TA,Deferred LT Liabilities %TA,Minority Interests %TA,Other Liabilities %TA,Total Liabilities %TA,Common Share Capital %TA,Retained Earnings %TA,Accum Other Comprehens Income %TA,Other Equity %TA,Total Equity %TA,Total Liabilities & Equity %TA
3/31/2018,12.261,11.668,23.929,6.097,2.085,0,0,3.277,35.388,21.905,12.36,9.545,48.785,0,0,0,6.282,100,16.617,9.336,7.281,5.572,2.116,24.305,27.581,0.989,0,12.6,65.476,0,25.006,0.834,10.414,34.524,100
12/30/2017,6.758,12.208,18.966,12.512,1.087,0,0,2.787,35.352,18.956,10.676,8.279,51.118,1.976,0,0,3.275,100,21.944,15.483,6.461,4.542,1.977,28.464,25.547,0.904,0,10.621,65.536,0,25.712,0.207,9.037,34.464,100
9/30/2017,5.406,14.359,19.765,9.505,1.294,0,0,3.713,34.276,20.003,11.002,9.001,51.88,2.136,0,0,2.708,100,19.928,13.069,6.859,4.922,2.011,26.861,25.9,9.15,0,2.374,64.285,9.556,26.199,0.04,0.094,35.715,100
7/1/2017,5.38,16.858,22.238,6.557,0.911,0,0,2.995,32.701,19.984,11.5,8.484,53.526,2.348,0,0,2.941,100,15.997,9.246,6.751,5.352,2.204,23.554,26.034,9.611,0,2.436,61.635,9.979,28.544,0.158,0.179,38.365,100
4/1/2017,4.531,15.527,20.058,6.161,0.87,0,0,3.398,30.487,19.467,11.347,8.12,56.718,2.418,0,0,2.257,100,15.445,8.541,6.904,4.182,2.296,21.924,25.268,9.366,0,3.361,59.92,0,30.169,0.126,10.259,40.08,100
12/31/2016,4.944,13.312,18.256,8.449,0.819,0,0,3.682,31.205,18.952,10.947,8.006,56.06,2.498,0,0,2.232,100,18.798,11.629,7.169,4.225,2.382,25.406,22.213,9.093,0,3.308,60.02,0,30.199,0.074,9.995,39.98,100
9/24/2016,6.368,14.508,20.876,9.108,0.663,0,0,2.575,33.222,19.039,10.642,8.396,52.98,2.68,0,0,2.722,100,18.441,11.593,6.847,3.608,2.512,24.56,23.447,8.999,0,3.126,60.132,9.715,29.956,0.197,0.18,39.868,100
6/25/2016,5.968,14.24,20.208,6.231,0.599,0,0,3.643,30.681,18.976,10.649,8.327,55.551,2.869,0,0,2.573,100,15.425,8.612,6.813,5.234,2.733,23.392,22.558,9.039,0,3.603,58.593,9.851,31.591,0.035,0.193,41.407,100
3/26/2016,7.047,11.062,18.109,6.494,0.747,0,0,3.343,28.693,17.706,10.105,7.601,58.191,2.978,0,0,2.537,100,15.824,8.221,7.602,3.439,3.099,22.362,22.725,8.608,0,3.572,57.266,0,33.419,0.343,9.866,42.734,100
12/26/2015,5.69,7.292,12.982,8.395,0.836,0,0,3.776,25.988,17.506,9.902,7.604,60.578,3.112,0,0,2.719,100,19.552,11.358,8.194,3.327,3.065,25.945,18.141,8.58,0,3.6,56.265,9.633,34.606,0.505,0.257,43.735,100
9/26/2015,7.271,7.051,14.322,10.446,0.809,1.909,0,3.284,30.769,16.957,9.221,7.736,56.481,3.101,0,0,1.913,100,20.887,12.218,8.669,3.787,3.078,27.751,18.405,9.531,0,3.224,58.911,9.438,31.77,0.119,0.225,41.089,100
6/27/2015,5.608,7.096,12.705,7.288,0.748,1.834,0,3.401,25.976,16.674,8.931,7.743,61.558,3.23,0,0,1.494,100,13.318,9.692,3.626,2.562,8.02,23.901,17.36,10.256,0,2.474,53.99,9.638,35.97,0.402,0.154,46.01,100
3/28/2015,5.547,7.124,12.671,6.954,0.917,1.968,0,3.482,25.993,16.256,8.541,7.715,61.427,3.358,0,0,1.507,100,12.618,8.867,3.751,1.454,8.413,22.485,15.342,10.489,0,2.294,50.609,0,38.638,1.038,9.902,49.391,100
12/27/2014,7.437,4.958,12.395,11.446,0.872,1.927,0,5.206,31.846,15.559,7.772,7.786,55.554,3.436,0,0,1.378,100,18.372,14.51,3.861,1.489,8.247,28.107,12.411,10.253,0,2.138,52.909,9.235,37.106,0.75,0.118,47.091,100
9/27/2014,5.971,4.845,10.817,11.74,0.911,1.862,0,4.23,29.56,16.828,7.933,8.896,56.143,3.778,0,0,1.624,100,16.863,13.025,3.838,2.721,7.784,27.367,12.503,10.046,0,1.97,51.886,10.056,37.592,0.467,0.104,48.114,100
6/28/2014,5.832,11.158,16.989,7.568,0.716,1.745,0,3.517,30.536,15.483,7.58,7.903,56.932,2.76,0,0,1.869,100,13.093,9.228,3.864,0.903,6.768,20.764,13.046,10.434,0,1.406,45.65,9.949,44.362,0.039,0.063,54.35,100
3/29/2014,9.199,10.875,20.074,7.68,0.888,1.949,0,3.655,34.245,14.761,7.421,7.34,53.031,2.905,0,0,2.479,100,13.508,9.182,4.326,0,7.468,20.976,8.234,10.988,0,1.459,41.658,10.436,48.029,0.122,0.093,58.342,100
12/28/2013,6.251,11.828,18.079,11.19,0.942,1.662,0,3.808,35.681,13.006,6.128,6.878,52.46,2.721,0,0,2.261,100,16.784,13.139,3.645,0,7.093,23.878,7.532,9.493,0,1.507,42.41,9.13,48.596,0.136,0.076,57.59,100
9/28/2013,6.888,12.699,19.587,9.971,0.852,1.668,0,3.325,35.404,13.777,5.759,8.018,51.312,2.781,0,0,2.486,100,13.905,10.805,3.1,0,7.186,21.091,8.193,9.234,0,1.797,40.314,9.548,50.365,0.228,0.051,59.686,100
6/29/2013,5.628,15.69,21.318,6.731,0.849,1.598,0,3.638,34.134,13.454,5.285,8.169,52.044,2.94,0,0,2.712,100,10.848,7.764,3.085,0,7.324,18.173,8.485,9.378,0,2.243,38.279,9.519,52.32,0.117,0.085,61.721,100
3/30/2013,6.189,13.908,20.097,6.848,0.639,1.665,0,3.275,32.523,12.424,4.708,7.716,54.2,2.843,0,0,2.718,100,10.833,7.657,3.176,0,7.4,18.233,0,9.94,0,2.253,30.426,9.219,59.859,0.495,0.035,69.574,100
12/29/2012,8.238,12.069,20.307,10.982,0.742,1.476,0,3.388,36.896,11.839,3.974,7.865,49.616,2.98,0,0,2.643,100,16.455,13.462,2.993,0,7.452,23.907,0,9.481,0,1.668,35.057,8.755,55.876,0.312,0.009,64.943,100
9/29/2012,6.103,10.441,16.545,10.617,0.449,1.467,0,3.668,32.745,12.431,3.655,8.776,52.323,3.044,0,0,3.111,100,14.763,12.027,2.737,0,7.128,21.891,0,9.369,0,1.6,32.86,9.327,57.53,0.283,0.005,67.14,100
