Date,Cash & Equivalents,Short Term Investments,Cash & Equivs & ST Investments,Receivables (ST),Inventories,Current Tax Assets,Prepayments (ST),Other Current Assets,Total Current Assets,Gross Property Plant & Equip,Accumulated Depreciation,Net Property Plant & Equip,Long Term Investments,Intangible Assets,Prepayments (LT),Deferred LT Assets,Other Assets,Total Assets,Accounts Payable & Accrued Exps,Accounts Payable,Accrued Expenses,Current Debt,Other Current Liabilities,Total Current Liabilities,LT Debt & Leases,Deferred LT Liabilities,Minority Interests,Other Liabilities,Total Liabilities,Common Share Capital,Retained Earnings,Accum Other Comprehensive Income,For Curr Trans (BS),Other Equity,Total Equity,Total Liabilities & Equity
3/31/2018,45059,42881,87940,22408,7662,0,0,12043,130053,80502,45425,35077,179286,0,0,0,23086,367502,61067,34311,26756,20478,7775,89320,101362,3635,0,46307,240624,0,91898,3064,227,38271,126878,367502
12/30/2017,27491,49662,77153,50899,4421,0,0,11337,143810,77110,43431,33679,207944,8038,0,0,13323,406794,89266,62985,26281,18478,8044,115788,103922,3679,0,43206,266595,0,104593,841,314,36761,140199,406794
9/30/2017,20289,53892,74181,35673,4855,0,0,13936,128645,75076,41293,33783,194714,8015,0,0,10162,375319,74793,49049,25744,18473,7548,100814,97207,34340,0,8911,241272,35867,98330,150,354,354,134047,375319
7/1/2017,18571,58188,76759,22632,3146,0,0,10338,112875,68981,39695,29286,184757,8105,0,0,10150,345173,55219,31915,23304,18475,7608,81302,89864,33175,0,8407,212748,34445,98525,545,619,619,132425,345173
4/1/2017,15157,51944,67101,20612,2910,0,0,11367,101990,65124,37961,27163,189740,8090,0,0,7549,334532,51669,28573,23096,13991,7682,73342,84531,31333,0,11244,200450,0,100925,422,739,34318,134082,334532
12/31/2016,16371,44081,60452,27977,2712,0,0,12191,103332,62759,36249,26510,185638,8271,0,0,7390,331141,62249,38510,23739,13992,7889,84130,73557,30111,0,10953,198751,0,100001,245,953,33097,132390,331141
9/24/2016,20484,46671,67155,29299,2132,0,0,8283,106869,61245,34235,27010,170430,8620,0,0,8757,321686,59321,37294,22027,11605,8080,79006,75427,28949,0,10055,193437,31251,96364,634,578,578,128249,321686
6/25/2016,18237,43519,61756,19042,1831,0,0,11132,93761,57991,32543,25448,169764,8767,0,0,7862,305602,47138,26318,20820,15996,8352,71486,68939,27624,0,11012,179061,30106,96542,107,589,589,126541,305602
3/26/2016,21514,33769,55283,19824,2281,0,0,10204,87592,54051,30848,23203,177645,9092,0,0,7745,305277,48306,25098,23208,10498,9461,68265,69374,26277,0,10904,174820,0,102021,1048,635,30119,130457,305277
12/26/2015,16689,21385,38074,24621,2451,0,0,11073,76219,51342,29042,22300,177665,9126,0,0,7974,293284,57344,33312,24032,9759,8989,76092,53204,25163,0,10558,165017,28253,101494,1480,755,755,128267,293284
9/26/2015,21120,20481,41601,30343,2349,5546,0,9539,89378,49257,26786,22471,164065,9009,0,0,5556,290479,60671,35490,25181,10999,8940,80610,53463,27686,0,9365,171124,27416,92284,345,653,653,119355,290479
6/27/2015,15319,19384,34703,19907,2042,5010,0,9291,70953,45544,24395,21149,168145,8823,0,0,4081,273151,36379,26474,9905,6999,21907,65285,47419,28013,0,6757,147474,26327,98252,1098,421,421,125677,273151
3/28/2015,14489,18607,33096,18164,2396,5141,0,9094,67891,42460,22309,20151,160443,8772,0,0,3937,261194,32957,23159,9798,3799,21973,58729,40072,27396,0,5991,132188,0,100920,2710,488,25864,129006,261194
12/27/2014,19478,12985,32463,29976,2283,5046,0,13635,83403,40747,20355,20392,145492,8999,0,0,3608,261894,48114,38001,10113,3899,21598,73611,32504,26851,0,5600,138566,24187,97178,1963,308,308,123328,261894
9/27/2014,13844,11233,25077,27219,2111,4318,0,9806,68531,39015,18391,20624,130162,8758,0,0,3764,231839,39094,30196,8898,6308,18046,63448,28987,23290,0,4567,120292,23313,87152,1082,242,242,111547,231839
6/28/2014,12977,24828,37805,16841,1594,3884,0,7825,67949,34453,16868,17585,126685,6141,0,0,4160,222520,29134,20535,8599,2010,15061,46205,29030,23217,0,3128,101580,22139,98715,86,140,140,120940,222520
3/29/2014,18949,22401,41350,15820,1829,4014,0,7528,70541,30406,15286,15120,109239,5983,0,0,5106,205989,27825,18914,8911,0,15383,43208,16962,22635,0,3005,85810,21496,98934,251,191,191,120179,205989
12/28/2013,14077,26634,40711,25198,2122,3742,0,8574,80347,29288,13800,15488,118131,6127,0,0,5091,225184,37796,29588,8208,0,15973,53769,16961,21377,0,3393,95500,20559,109431,306,172,172,129684,225184
9/28/2013,14259,26287,40546,20641,1764,3453,0,6882,73286,28519,11922,16597,106215,5756,0,0,5146,207000,28784,22367,6417,0,14874,43658,16960,19114,0,3719,83451,19764,104256,471,105,105,123549,207000
6/29/2013,11248,31358,42606,13453,1697,3193,0,7270,68219,26889,10562,16327,104014,5875,0,0,5421,199856,21681,15516,6165,0,14638,36319,16958,18742,0,4483,76502,19024,104564,234,169,169,123354,199856
3/30/2013,12053,27084,39137,13336,1245,3242,0,6377,63337,24194,9168,15026,105550,5536,0,0,5294,194743,21097,14912,6185,0,14411,35508,0,19358,0,4387,59253,17954,116572,964,69,69,135490,194743
12/29/2012,16154,23666,39820,21534,1455,2895,0,6644,72348,23214,7792,15422,97292,5843,0,0,5183,196088,32266,26398,5868,0,14613,46879,0,18592,0,3271,68742,17167,109567,612,18,18,127346,196088
9/29/2012,10746,18383,29129,18692,791,2583,0,6458,57653,21887,6435,15452,92122,5359,0,0,5478,176064,25993,21175,4818,0,12549,38542,0,16495,0,2817,57854,16422,101289,499,8,8,118210,176064
6/30/2012,7945,19709,27654,14298,1122,2309,0,6560,51943,16205,5718,10487,89567,5461,0,0,5438,162896,21317,16808,4509,0,11743,33060,0,15725,0,2365,51150,15573,95641,532,65,65,111746,162896
3/31/2012,10121,18417,28538,13769,1102,2253,0,5050,50712,13941,5094,8847,81638,4745,0,0,4992,150934,21100,17011,4089,0,10936,32036,0,14150,0,2250,48436,14850,87124,524,0,0,102498,150934
12/31/2011,10310,19846,30156,16484,1236,1937,0,4958,54771,12340,4524,7816,67445,4368,0,0,4281,138681,23571,18221,5350,0,11036,34607,0,11912,0,2108,48627,13961,75709,384,17,17,90054,138681
9/24/2011,9815,16137,25952,11717,776,2014,0,4529,44988,11768,3991,7777,55618,4432,0,0,3556,116371,18200,14632,3568,0,9770,27970,0,9845,0,1941,39756,13331,62841,443,23,23,76615,116371
6/25/2011,12091,16304,28395,11471,889,1892,0,4251,46898,10348,3599,6749,47761,1910,0,0,3440,106758,18624,15270,3354,0,8235,26859,0,8738,0,1818,37415,12715,56239,389,136,136,69343,106758
3/26/2011,15978,13256,29234,11095,930,1683,0,4055,46997,9416,3175,6241,36533,1248,0,0,3885,94904,16749,13714,3035,0,7578,24327,0,7380,0,1720,33427,12326,49025,126,125,125,61477,94904
12/25/2010,10734,16243,26977,10874,885,1724,0,3467,43927,8635,2767,5868,32730,1263,0,0,2954,86742,16264,14301,1963,0,7531,23795,0,6634,0,1647,32076,11502,43050,114,51,51,54666,86742
9/25/2010,11261,14359,25620,9924,1051,1636,0,3447,41678,7234,2466,4768,25391,1083,0,0,2263,75183,13818,12015,1803,0,6904,20722,0,5439,0,1231,27392,10668,37169,46,35,35,47791,75183
6/26/2010,9705,14583,24288,6399,942,1216,0,3188,36033,6228,2238,3990,21551,1032,0,0,2119,64725,9885,8469,1416,0,5727,15612,0,4849,0,1153,21614,10133,32870,108,15,15,43111,64725
3/27/2010,10018,13137,23155,4629,638,1142,190,2582,32336,5555,2051,3504,18549,823,781,129,935,57057,7152,5666,1486,0,5077,12229,0,4182,0,1298,17709,9553,29670,125,39,39,39348,57057
12/26/2009,7609,17187,24796,4881,576,1180,232,1667,33332,4986,1871,3115,15024,587,812,130,926,53926,7981,6511,1470,0,5116,13097,0,3691,0,1370,18158,8962,26695,111,33,33,35768,53926
9/26/2009,5263,18201,23464,5057,455,2101,309,4879,36265,4667,1713,2954,10528,559,844,1727,974,53851,6966,5601,1365,0,12316,19282,0,5451,0,1286,26019,8210,19538,84,5,5,27832,53851
6/27/2009,5605,18617,24222,4180,380,1731,259,4398,35170,4222,1569,2653,6899,577,500,1466,875,48140,5787,4854,933,0,10874,16661,0,4637,0,954,22252,7957,17878,53,5,5,25888,48140
3/28/2009,4466,20547,25013,3036,312,1539,306,3647,33853,4097,1551,2546,3865,573,502,1371,527,43237,4868,3976,892,0,8883,13751,0,4323,0,852,18926,7643,16653,15,18,18,24311,43237
12/27/2008,7236,18411,25647,3413,396,1613,345,3749,35163,3997,1417,2580,2498,566,83,1337,560,42787,5634,4715,919,0,9123,14757,0,4305,0,816,19878,7392,15448,69,15,15,22909,42787
