Report Date,Sales Revenue %TR,Total Revenue (100% TR),Direct Costs %TR,Gross Profit %TR,Selling General & Admin %TR,Research & Development %TR,Other Operating Expense %TR,Total Indirect Operating Costs %TR,Operating Income %TR,Interest Income %TR,Other Non0Operating Income %TR,Total Non0Operating Income %TR,Earnings Before Tax %TR,Taxation %TR,Extraordinary Items %TR,Accounting Changes %TR,Net Income %TR,Preference Dividends & Similar %TR,Net Income to Common %TR
03/31/2018,100,100,61.689,38.311,6.788,5.525,0,12.313,25.997,1.166,0.718,0.448,26.446,3.837,0,0,22.608,0,22.608
12/30/2017,100,100,61.592,38.408,4.792,3.859,0,8.651,29.758,0.813,0.043,0.856,30.614,7.889,0,0,22.725,0,22.725
09/30/2017,100,100,62.093,37.907,7.254,5.7,0,12.954,24.953,1.335,0.181,1.516,26.469,6.092,0,0,20.377,0,20.377
07/01/2017,100,100,61.487,38.513,8.331,6.468,0,14.799,23.714,1.597,0.407,1.189,24.903,5.706,0,0,19.197,0,19.197
04/01/2017,100,100,61.073,38.927,7.029,5.248,0,12.277,26.65,1.422,0.312,1.11,27.76,6.91,0,0,20.85,0,20.85
12/31/2016,100,100,61.486,38.514,5.036,3.664,0,8.701,29.813,0.892,0.156,1.048,30.861,8.027,0,0,22.834,0,22.834
09/24/2016,100,100,61.98,38.02,7.432,5.485,0,12.917,25.102,1.251,0.339,0.911,26.014,6.775,0,0,19.239,0,19.239
06/25/2016,100,100,61.976,38.024,8.124,6.044,0,14.167,23.856,1.48,0.621,0.859,24.716,6.31,0,0,18.405,0,18.405
03/26/2016,100,100,60.597,39.403,6.771,4.967,0,11.737,27.666,1.315,1.009,0.307,27.972,7.172,0,0,20.8,0,20.8
12/26/2015,100,100,59.902,40.098,5.072,3.168,0,8.24,31.858,0.876,0.347,0.53,32.387,8.187,0,0,24.2,0,24.2
09/26/2015,100,100,60.102,39.898,7.194,4.311,0,11.505,28.394,1.142,0.289,0.852,29.246,7.646,0,0,21.6,0,21.6
06/27/2015,100,100,60.325,39.675,7.185,4.1,0,11.285,28.39,1.139,0.353,0.786,29.176,7.652,0,0,21.524,0,21.524
03/28/2015,100,100,59.221,40.779,5.964,3.306,0,9.271,31.508,0.883,0.39,0.493,32.001,8.611,0,0,23.391,0,23.391
12/27/2014,100,100,60.132,39.868,4.826,2.54,0,7.366,32.502,0.701,0.473,0.228,32.73,8.568,0,0,24.161,0,24.161
09/27/2014,100,100,61.995,38.005,7.497,4.003,0,11.5,26.506,0.959,0.23,0.729,27.235,7.134,0,0,20.101,0,20.101
06/28/2014,100,100,60.635,39.365,7.614,4.282,0,11.896,27.468,0.906,0.366,0.54,28.008,7.309,0,0,20.699,0,20.699
03/29/2014,100,100,60.682,39.318,6.423,3.115,0,9.539,29.779,0.712,0.219,0.493,30.272,7.876,0,0,22.396,0,22.396
12/28/2013,100,100,62.069,37.931,5.301,2.309,0,7.61,30.321,0.596,0.168,0.427,30.748,8.051,0,0,22.697,0,22.697
09/28/2013,100,100,62.983,37.017,7.133,3.117,0,10.25,26.767,0,0,0.302,27.068,7.021,0,0,20.047,0,20.047
06/29/2013,100,100,63.129,36.871,7.488,3.335,0,10.823,26.048,0,0,0.662,26.711,7.177,0,0,19.534,0,19.534
03/30/2013,100,100,62.505,37.495,6.128,2.566,0,8.694,28.801,0.963,0.167,0.796,29.597,7.701,0,0,21.895,0,21.895
12/29/2012,100,100,61.366,38.634,5.21,1.853,0,7.063,31.571,0.772,0.075,0.848,32.419,8.428,0,0,23.991,0,23.991
09/29/2012,100,100,59.959,40.041,7.093,2.519,0,9.612,30.429,0,0,0.142,30.287,7.424,0,0,22.863,0,22.863
06/30/2012,100,100,57.188,42.812,7.267,2.501,0,9.768,33.044,0,0,0.822,33.866,8.671,0,0,25.195,0,25.195
03/31/2012,100,100,52.626,47.374,5.969,2.146,0,8.115,39.259,0.648,0.271,0.378,39.637,9.978,0,0,29.659,0,29.659
12/31/2011,100,100,55.317,44.683,5.622,1.636,0,7.258,37.425,0,0,0.296,37.72,9.525,0,0,28.196,0,28.196
09/24/2011,100,100,59.745,40.255,7.163,2.282,0,9.445,30.81,0,0,0.287,31.097,7.669,0,0,23.428,0,23.428
06/25/2011,100,100,58.272,41.728,6.703,2.198,0,8.901,32.827,0,0,0.602,33.429,7.851,0,0,25.578,0,25.578
03/26/2011,100,100,58.576,41.424,7.147,2.355,0,9.503,31.921,0,0,0.105,32.027,7.755,0,0,24.271,0,24.271
12/25/2010,100,100,61.49,38.51,7.09,2.15,0,9.24,29.27,0,0,0.509,29.778,7.326,0,0,22.452,0,22.452
09/25/2010,100,100,63.073,36.927,7.723,2.428,0,10.151,26.776,0,0,0.069,26.845,5.668,0,0,21.177,0,21.177
06/26/2010,100,100,60.917,39.083,9.159,2.955,0,12.115,26.968,0,0,0.369,27.338,6.618,0,0,20.72,0,20.72
03/27/2010,100,100,58.33,41.67,9.038,3.156,0,12.193,29.476,0,0,0.37,29.847,7.075,0,0,22.772,0,22.772
12/26/2009,100,100,59.121,40.879,8.213,2.538,0,10.75,30.128,0,0,0.21,30.339,8.799,0,0,21.539,0,21.539
09/26/2009,100,100,63.384,36.616,10.77,3.627,0,14.397,22.219,0,0,0.456,22.675,5.805,0,0,16.869,0,16.869
06/27/2009,100,100,63.74,36.26,12.115,4.09,0,16.205,20.055,0,0,0.72,20.775,6.033,0,0,14.742,0,14.742
03/28/2009,100,100,63.604,36.396,12.067,3.908,0,15.975,20.421,0,0,0.772,21.193,6.431,0,0,14.762,0,14.762
12/27/2008,100,100,65.26,34.74,10.731,3.098,0,13.829,20.911,0,0,1.554,22.465,6.678,0,0,15.786,0,15.786
