Report Date,Sales Revenue,Total Revenue,Direct Costs,Gross Profit,Selling General & Admin,Research & Development,Other Operating Expense,Total Indirect Operating Costs,Operating Income,Interest Income,Other Non0Operating Income,Total Non0Operating Income,Earnings Before Tax,Taxation,Extraordinary Items,Accounting Changes,Net Income,Preference Dividends & Similar,Net Income to Common,Average Shares Basic,EPS Net Basic,EPS Continuing Basic,Average Shares Diluted,EPS Net Diluted,EPS Continuing Diluted,Shares Outstanding
3/31/2018,61137,61137,37715,23422,4150,3378,0,7528,15894,713,439,274,16168,2346,0,0,13822,0,13822,5024.877,2.75,2.75,5068.493,2.73,2.73,4943.282
12/30/2017,88293,88293,54381,33912,4231,3407,0,7638,26274,718,38,756,27030,6965,0,0,20065,0,20065,5112.877,3.92,3.92,5157.787,3.89,3.89,5081.651
9/30/2017,52579,52579,32648,19931,3814,2997,0,6811,13120,702,95,797,13917,3203,0,0,10714,0,10714,5149.427,2.09,2.09,5183.586,2.07,2.07,5126.201
7/1/2017,45408,45408,27920,17488,3783,2937,0,6720,10768,725,185,540,11308,2591,0,0,8717,0,8717,5195.088,1.68,1.68,5233.499,1.67,1.67,5169.782
4/1/2017,52896,52896,32305,20591,3718,2776,0,6494,14097,752,165,587,14684,3655,0,0,11029,0,11029,5225.791,2.11,2.11,5261.688,2.1,2.1,5205.815
12/31/2016,78351,78351,48175,30176,3946,2871,0,6817,23359,699,122,821,24180,6289,0,0,17891,0,17891,5298.661,3.38,3.38,5327.995,3.36,3.36,5255.423
9/24/2016,46852,46852,29039,17813,3482,2570,0,6052,11761,586,159,427,12188,3174,0,0,9014,0,9014,5366.912,1.69,1.69,5393.331,1.69,1.69,5336.166
6/25/2016,42358,42358,26252,16106,3441,2560,0,6001,10105,627,263,364,10469,2673,0,0,7796,0,7796,5443.058,1.43,1.43,5472.781,1.42,1.42,5393.165
3/26/2016,50557,50557,30636,19921,3423,2511,0,5934,13987,665,510,155,14142,3626,0,0,10516,0,10516,5514.381,1.91,1.91,5540.886,1.9,1.9,5478.446
12/26/2015,75872,75872,45449,30423,3848,2404,0,6252,24171,665,263,402,24573,6212,0,0,18361,0,18361,5558.93,3.3,3.3,5594.127,3.28,3.28,5544.487
